服务端,实体名,实体参数,参数类型
admin,autowashgroup,"['wash_able_group_id', 'name', 'group_time_range', 'expect_time', 'expect_day', 'is_diff_car_type', 'people_num', 'people_day_num', 'the_rest_people_day_num', 'spec_people_day_num', 'spec_people_date', 'service_groups', 'status', 'start_time', 'end_time', 'day_in_week', 'auto_group', 'updated_time', 'created_time', 'time_loop_set', 'end_time_found']","['string', 'String', 'int', 'int', 'int', 'bool', 'int', 'int', 'int', 'int', 'int', 'array', 'int', 'int', 'int', 'array', 'boolean', 'float', 'float', 'int', 'boolean']"
admin,card,"['card_id', 'card_no', 'card_name', 'days', 'grant_way', 'price', 'first_price', 'recharge_price', 'first_recharge_price', 'auto_recharge', 'coupons', 'card_remark', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'int', 'int', 'int', 'int', 'int', 'int', 'bool', 'json', 'string', 'float', 'float', 'string', 'bool', 'float']"
admin,cardsale,"['card_sale_id', 'card_id', 'enabled', 'order_by', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'bool', 'int', 'float', 'float', 'string', 'bool', 'float']"
admin,cardrecord,"['card_record_id', 'card_id', 'card_no', 'card_name', 'user_id', 'mobile', 'card_from', 'price', 'mode', 'end_time', 'coupons', 'card_remark', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'int', 'int', 'int', 'float', 'json', 'string', 'float', 'float', 'string', 'bool', 'float']"
admin,membershipstatistic,"['user_membership_statistic_id', 'time_point', 'first_num', 'recharge_num', 'all_num', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'float', 'int', 'int', 'int', 'float', 'float', 'string', 'boolean', 'float']"
admin,promoterstatistic,"['promoter_statistic_id', 'promoter_no', 'name', 'mobile', 'follow_num', 'register_num', 'first_order_num', 'scanning_num', 'total_follow', 'total_register', 'total_first_order', 'total_scanning', 'follow_num_last_7_day', 'register_num_last_7_day', 'first_order_num_last_7_day', 'scanning_num_last_7_day', 'follow_num_last_15_day', 'register_num_last_15_day', 'first_order_num_last_15_day', 'scanning_num_last_15_day', 'follow_num_last_30_day', 'register_num_last_30_day', 'first_order_num_last_30_day', 'scanning_num_last_30_day', 'visible', 'time_point', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'boolean', 'float', 'float', 'float', 'string', 'boolean', 'float']"
admin,usercar,"['user_car_id', 'user_id', 'car_id', 'car_brand_id', 'car_brand', 'car_series', 'car_scale', 'car_model', 'car_model_id', 'car_series_id', 'is_default', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'boolean', 'float', 'float', 'string', 'boolean', 'float']"
admin,intelligentservice,"['intelligent_service_id', 'name', 'choose_car_model_id', 'cost_price', 'min_cost_price', 'max_cost_price', 'price', 'min_price', 'max_price', 'wash_normal_price', 'min_wash_normal_price', 'max_wash_normal_price', 'wash_group_price', 'min_wash_group_price', 'max_wash_group_price', 'member_price', 'min_member_price', 'max_member_price', 'commission_percent', 'standard_time', 'special_car_models', 'order_by', 'description', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'array', 'int', 'string', 'float', 'float', 'string', 'boolean', 'float']"
admin,carseries,"['car_series_id', 'car_brand', 'car_brand_id', 'car_model', 'car_model_id', 'car_series_name', 'car_scale', 'contractor', 'is_active', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'boolean', 'float', 'float', 'string', 'boolean', 'float']"
admin,carseriesprice,"['car_series_price_id', 'intelligent_service_id', 'car_brand', 'brand_id', 'car_series_name', 'car_scale', 'car_model_id', 'car_model', 'wash_seconds', 'cost_price', 'price', 'wash_normal_price', 'wash_group_price', 'membership_price', 'commission_price', 'created_time']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'Int', 'Int', 'Int', 'Int', 'Int', 'Int', 'Int', 'float']"
admin,carmodel,"['car_model_id', 'car_brand', 'car_brand_id', 'car_series', 'car_series_id', 'car_scale', 'car_model', 'guidance_price', 'contractor', 'energy_type', 'quoted_time', 'max_power', 'max_torque', 'engine', 'variable_box', 'car_structure', 'max_speed', 'oil_consumption', 'car_quality_assurance', 'car_length', 'car_width', 'car_height', 'car_wheelbase', 'car_wheel_pitch', 'min_ground_clearance', 'car_doors', 'car_seats', 'tank_volume', 'trunk_volume', 'car_quality', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'float', 'int', 'int', 'string', 'string', 'string', 'int', 'int', 'string', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'float', 'float', 'string', 'boolean', 'float']"
admin,couponcoderecord,"['coupon_code_record_id', 'coupon_code_name', 'coupon_money', 'created_number', 'granted_number', 'coupon_pool_id', 'coupon_code_remark', 'is_new_user', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'int', 'int', 'int', 'string', 'string', 'boolean', 'float', 'float', 'string', 'boolean', 'float']"
admin,couponcode,"['coupon_code_id', 'coupon_code_record_id', 'coupon_code_no', 'coupon_money', 'user_id', 'mobile', 'status', 'car_id', 'receive_time', 'used_time', 'is_new_user', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'int', 'string', 'string', 'int', 'string', 'float', 'float', 'boolean', 'float', 'float', 'string', 'boolean', 'float']"
admin,promoter,"['promoter_id', 'promoter_no', 'name', 'mobile', 'enabled', 'qrcode', 'promoter_remark', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'boolean', 'string', 'string', 'float', 'float', 'string', 'boolean', 'float']"
admin,promotion,"['promotion_id', 'follow', 'register', 'user_id', 'mobile', 'first_order', 'car_id', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'boolean', 'boolean', 'string', 'string', 'boolean', 'string', 'float', 'float', 'string', 'boolean', 'float']"
admin,parkingcoupon,"['parking_coupon_id', 'parking_coupon_no', 'car_id', 'order_no', 'car_washer', 'parking_id', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'float', 'float', 'string', 'boolean', 'float']"
admin,user,"['username', 'name', 'password', 'mobile', 'email', 'date_joined']","['String', 'String', 'String', 'String', 'String', 'Float']"
admin,carwasher,"['username', 'name', 'mobile', 'sex', 'birthday', 'ID_card', 'address', 'promoter_no', 'password', 'is_active', 'employee_mode', 'employee_status', 'is_service', 'recommend']","['string', 'string', 'string', 'int', 'string', 'string', 'string', 'string', 'string', 'boolean', 'int', 'int', 'int', 'string']"
admin,robot,"['robot_id', 'name', 'mobile', 'role', 'created_time', 'updated_time', 'delete_time', 'province', 'city', 'city_code', 'car_id', 'car_type', 'car_brand', 'car_model', 'car_color', 'order_quantity', 'is_active', 'is_deleted', 'deleted_time', 'status']","['string', 'string', 'string', 'string', 'Float', 'Float', 'Float', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'boolean', 'boolean', 'Float', 'boolean']"
admin,washgroup,"['wash_group_id', 'wash_group_no', 'name', 'valid_start_time', 'valid_end_time', 'is_diff_car_type', 'people_num', 'wash_area', '-wash_area_id', '-name', 'status', 'robot_num', 'complete_time', 'has_people_num', 'expect_time', 'car_washers', 'created_time', 'updated_time', 'finished_time', 'auto_group', 'remark', 'service_groups', 'min_price', 'max_price', 'wash_auto_group_id', 'group_type', 'group_creater']","['string', 'string', 'string', 'Float', 'Float', 'boolean', 'int', 'json', 'string', 'string', 'int', 'int', 'Float', 'int', 'Float', '<CarWasher>', 'Float', 'Float', 'Float', 'boolean', 'string', 'array', 'int', 'int', 'string', 'int', 'string']"
admin,washrecord,"['wash_record_id', 'order_id', 'wash_group', 'wash_normal', 'wash_area', '-wash_area_id', '-name', 'user_id', 'car_id', 'mobile', 'name', 'price', 'real_price', 'discount_money', 'status', 'submit_time', 'start_time', 'end_time', 'wash_seconds', 'car_washer', 'before_wash_images', 'after_wash_images', 'wash_tags', 'description', 'group_identity', 'created_time', 'updated_time', 'remark', 'close_description', 'close_time', 'order_status', 'service_group', 'dirty_percent', 'after_sale', 'order_type', 'parking', '-parking_id', '-parking_name', 'possible_phase', 'possible_floor', 'possible_zone', 'possible_space_no', 'wxmp_remark', 'lon', 'lat', 'comment_status', 'admin_remark', 'car_type', 'is_deleted', 'washer_remark', 'mark', 'user_info', '-wx_nickname', '-wx_avatarurl', 'car_place', 'user_car_id', 'commission_prince', 'price_info', 'car_info', 'standard_time', 'refund_reason', 'ability', 'position', 'serve_time']","['string', 'string', 'object', 'object', 'json', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'int', 'int', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'double', 'string', 'array', 'int', 'int', 'int', 'json', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'boolean', 'array', 'int', 'json', 'string', 'string', 'string', 'string', 'int', 'json', 'json', 'int', 'string', 'float', 'json', 'float']"
