服务端,实体名,实体参数,参数类型
wxmp,washgroup,"['wash_group_id', 'wash_group_no', 'name', 'valid_start_time', 'valid_end_time', 'is_diff_car_type', 'price_info', 'people_num', 'wash_area', '-wash_area_id', '-name', 'status', 'robot_num', 'complete_time', 'has_people_num', 'expect_time', 'car_washers', 'created_time', 'updated_time', 'finished_time', 'auto_group', 'remark', 'service_groups', 'wash_auto_group_id', 'group_type', 'group_creater', 'group_creater_info', '-wx_nickname', '-wx_avatarurl', 'min_price', 'max_price', 'time_loop_set']","['string', 'string', 'string', 'string', 'string', 'boolean', 'json', 'int', 'json', 'string', 'string', 'int', 'int', 'double', 'int', 'double', '<CarWasher>', 'double', 'double', 'double', 'boolean', 'string', 'array', 'string', 'int', 'string', 'string', 'string', 'string', 'int', 'int', 'int']"
wxmp,carwasher,"['car_washer_id', 'name', 'mobile']","['string', 'string', 'string']"
wxmp,autowashgroup,"['wash_able_group_id', 'wash_area_id', 'name', 'group_time_range', 'expect_time', 'expect_day', 'is_diff_car_type', 'people_num', 'people_day_num', 'spec_people_day_num', 'spec_people_date', 'service_groups', 'status', 'start_time', 'end_time', 'day_in_week', 'car_washers', 'auto_group', 'active_time', 'created_time']","['string', 'string', 'String', 'int', 'int', 'int', 'bool', 'int', 'int', 'int', 'int', 'array', 'int', 'int', 'int', 'array', 'array', 'boolean', 'float', 'float']"
wxmp,order,"['order_id', 'order_no', 'wash_group_id', 'user_id', 'car_id', 'mobile', 'name', 'price', 'real_price', 'status', 'paid_time', 'paid_way', 'wash_area', '-wash_area_id', '-name', 'created_time', 'updated_time', 'remark', 'service_group', 'order_type', 'car_type', 'user_car_id', 'user_contact_id', 'car_place', 'sub_orders', 'price_info', 'position', 'save_water']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'int', 'int', 'double', 'string', 'json', 'string', 'string', 'double', 'double', 'string', 'array', 'int', 'string', 'string', 'string', 'string', 'json', 'json', 'json', 'int']"
wxmp,washrecord,"['wash_record_id', 'order_id', 'wash_group', 'wash_normal', 'wash_area', '-wash_area_id', '-name', 'user_id', 'car_id', 'mobile', 'name', 'price', 'real_price', 'discount_money', 'status', 'submit_time', 'start_time', 'end_time', 'wash_seconds', 'car_washer', 'before_wash_images', 'after_wash_images', 'wash_tags', 'description', 'group_identity', 'created_time', 'updated_time', 'remark', 'close_description', 'close_time', 'order_status', 'service_group', 'dirty_percent', 'after_sale', 'order_type', 'parking', '-parking_id', '-parking_name', 'possible_phase', 'possible_floor', 'possible_zone', 'possible_space_no', 'wxmp_remark', 'lon', 'lat', 'comment_status', 'admin_remark', 'car_type', 'is_deleted', 'washer_remark', 'mark', 'user_info', '-wechat_user', '--wx_nickname', '--wx_avatarurl', 'car_place', 'user_car_id', 'refund_reason', 'standard_time', 'ability', 'position', 'serve_time', 'wxmp_remark_time', 'admin_remark_time']","['string', 'string', 'object', 'object', 'json', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'int', 'int', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'double', 'string', 'array', 'int', 'int', 'int', 'json', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'boolean', 'array', 'int', 'json', 'json', 'string', 'string', 'string', 'string', 'string', 'int', 'float', 'json', 'float', 'float', 'float']"
wxmp,washarea,"['wash_area_id', 'name', 'province', 'city', 'city_code', 'district', 'address', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'wash_normal', 'wash_group', 'status', 'service_type']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'Float', 'Float', 'string', 'Boolean', 'Float', 'Boolean', 'Boolean', 'Boolean', 'string']"
wxmp,coupon,"['coupon_id', 'coupon_pool_id', 'user_id', 'coupon_name', 'coupon_type', 'coupon_channel', 'created_time', 'allow_use_start_time', 'allow_use_end_time', 'used_time', 'condition_money', 'discount', 'discount_money', 'status', 'service_types', 'order_types', 'service_group_ids', 'wash_area_ids', 'parking_ids', 'remark', 'car_id', 'mobile', 'is_point', 'order_no']","['string', 'string', 'string', 'string', 'string', 'int', 'string', 'time', 'time', 'string', 'int', 'int', 'int', 'int', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string']"
wxmp,couponpool,"['coupon_pool_id', 'coupon_template_id', 'coupon_template_name', 'coupon_type', 'allow_gain_start_time', 'allow_gain_end_time', 'allow_use_days', 'allow_use_start_time', 'allow_use_end_time', 'condition_money', 'discount', 'discount_money', 'is_coupon_number_limit', 'coupon_number', 'granted_number', 'is_allow_gain_number_limit', 'allow_gain_number', 'status', 'service_types', 'order_types', 'service_group_ids', 'wash_area_ids', 'enabled', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'is_point', 'parking_ids']","['string', 'string', 'string', 'string', 'time', 'time', 'int', 'time', 'time', 'int', 'int', 'int', 'boolean', 'int', 'int', 'boolean', 'int', 'int', 'string', 'string', 'string', 'string', 'boolean', 'time', 'time', 'string', 'boolean', 'time', 'int', 'string']"
wxmp,invitecode,['invite_code'],['string']
wxmp,invitation,"['userid', 'mobile', 'invited_userid', 'invited_mobile', 'join_time', 'first_car_id', 'first_mobile', 'first_time', 'created_time', 'updated_time', 'remark']","['string', 'string', 'string', 'string', 'double', 'string', 'string', 'double', 'double', 'double', 'string']"
